Game Name,Portfolio,Best,Regret
4 Squared,95.0,98.0,3.0
Agon,16.0,70.0,54.0
Annuvin,100.0,100.0,0.0
Astralesce and Constellation,56.00000000000001,57.99999999999999,1.9999999999999858
Azteka,68.0,54.0,0.0
Battleships,84.0,100.0,16.0
Beirut Chess,100.0,69.0,0.0
Cascades,44.0,57.99999999999999,13.999999999999993
Caturvimsatikosthakatmiki Krida,2.0,1.0,0.0
Chaupar,76.00000035762787,69.33333379030228,0.0
Chong (Sakhalin),78.0,86.0,8.0
Dodo,28.000000000000004,66.0,38.0
Fettas,80.0,86.0,6.0
Fission,86.0,83.0,0.0
Game of Dwarfs,0.0,1.0,1.0
Gobblet Gobblers,72.0,100.0,28.0
HexGo,98.0,97.0,0.0
Hoshi,0.0,0.0,0.0
La Yagua,100.0,100.0,0.0
Labirintus,98.0,96.0,0.0
Lets Catch the Lion,100.0,100.0,0.0
Lights Out,0.0,6.0,6.0
Mahbouseh,100.0,100.0,0.0
Millieu,44.0,66.0,22.0
Minefield,90.0,88.0,0.0
Morpharaoh,100.0,98.0,0.0
Murus Gallicus,54.0,94.0,40.0
N-Mesh,68.0,78.0,10.0
Paintscape,52.0,46.0,0.0
Pentago,60.0,76.0,16.0
Pic,55.75,54.25,0.0
Plotto,0.0,2.0,2.0
Polypods,52.0,84.0,32.0
Puhulmutu,56.00000000000001,46.0,0.0
Pyrga,54.0,82.0,28.0
Redstone,78.0,96.0,18.0
Rithmomachia,100.0,100.0,0.0
Rock-Paper-Scissors,25.0,42.0,17.0
Romavoa,46.0,62.0,16.0
Shatranj (14x14),95.0,91.0,0.0
Sig wa Duqqan (Houmt Taourit),90.0,98.0,8.0
So Long Sucker,23.33333396911621,42.66666740179062,19.333333432674408
Spava,0.0,4.0,4.0
Tama,32.0,56.99999999999999,24.999999999999993
Tandems,51.0,68.0,17.0
Tank Tactics,100.0,96.0,0.0
Tara,18.0,66.0,48.0
Tibetan Jiuqi,100.0,100.0,0.0
Trianon,2.0,4.0,2.0
Windflowers,87.0,82.0,0.0
